date,time,temperature,relativeHumidity
2022-01-01,00:00:00,22.4,99
2022-01-01,00:15:00,22.5,99
2022-01-01,00:45:00,22.5,99
2022-01-01,01:15:00,22.4,99
2022-01-01,01:45:00,22.3,99
2022-01-01,02:15:00,22.5,99
2022-01-01,03:00:00,22.4,99
2022-01-01,03:30:00,22.6,99
2022-01-01,03:45:00,22.7,99
2022-01-01,04:00:00,22.9,99
2022-01-01,04:30:00,22.9,99
2022-01-01,05:30:00,22.7,99
2022-01-01,05:45:00,22.6,99
2022-01-01,06:15:00,22.6,99
2022-01-01,06:30:00,22.7,99
2022-01-01,07:00:00,22.7,99
2022-01-01,07:15:00,22.6,99
2022-01-01,07:30:00,22.5,99
2022-01-01,07:45:00,22.5,99
2022-01-01,08:00:00,22.8,99
2022-01-01,08:15:00,23,99
2022-01-01,10:15:00,25.6,81
2022-01-01,12:45:00,27.8,65
2022-01-01,13:15:00,28.1,64
2022-01-01,22:30:00,24.4,99
2022-01-01,23:15:00,23.3,99
2022-01-02,00:30:00,22.7,99
2022-01-02,01:00:00,22.6,99
2022-01-02,01:45:00,22.5,99
2022-01-02,04:15:00,22.1,99
2022-01-02,04:45:00,22.2,99
2022-01-02,05:00:00,22.3,99
2022-01-02,05:15:00,22.7,99
2022-01-02,05:45:00,23.1,99
2022-01-02,06:15:00,23.1,99
2022-01-02,07:00:00,23.1,99
2022-01-02,08:15:00,23.5,99
2022-01-02,08:30:00,23.7,99
2022-01-02,09:15:00,24.7,99
2022-01-02,12:45:00,28.2,73
2022-01-02,13:30:00,28.7,62
2022-01-02,14:00:00,29.1,59
2022-01-02,15:45:00,28.1,76
2022-01-02,18:00:00,26,99
2022-01-02,21:15:00,25.5,99
2022-01-02,21:45:00,25.5,93
2022-01-02,22:30:00,24.6,99
2022-01-03,01:15:00,22.3,99
2022-01-03,01:45:00,22.6,99
2022-01-03,02:15:00,22.6,99
2022-01-03,02:30:00,22.7,99
2022-01-03,02:45:00,22.5,99
2022-01-03,07:15:00,23.3,99
2022-01-03,08:00:00,23.7,99
2022-01-04,00:15:00,22.9,99
2022-01-04,01:15:00,22.8,99
2022-01-04,02:00:00,23.1,99
2022-01-04,03:15:00,22.8,99
2022-01-04,03:45:00,23.2,99
2022-01-04,05:45:00,23.3,99
2022-01-04,06:00:00,23.3,99
2022-01-04,06:15:00,23.1,99
2022-01-04,06:45:00,23,99
2022-01-04,12:30:00,27.3,93
2022-01-04,12:45:00,27.6,75
2022-01-04,14:00:00,28.4,71
2022-01-04,14:30:00,28.4,69
2022-01-04,15:15:00,28.7,66
2022-01-04,15:30:00,28.7,69
2022-01-04,15:45:00,28.1,64
2022-01-04,16:15:00,28.1,73
2022-01-04,16:30:00,28,80
2022-01-04,16:45:00,27.3,87
2022-01-04,17:00:00,27,94
2022-01-04,17:15:00,26.7,97
2022-01-04,17:30:00,26.5,99
2022-01-04,17:45:00,26.3,99
2022-01-04,18:00:00,26.2,99
2022-01-04,18:15:00,26,99
2022-01-04,18:30:00,25.8,99
2022-01-04,18:45:00,25.5,99
2022-01-04,19:00:00,25.5,99
2022-01-04,19:15:00,25.8,99
2022-01-04,19:30:00,25.9,99
2022-01-04,19:45:00,26,97
2022-01-04,20:00:00,25.8,99
2022-01-04,20:15:00,25.7,99
2022-01-04,20:30:00,25.5,99
2022-01-04,20:45:00,24.8,99
2022-01-04,21:00:00,24.4,99
2022-01-04,21:15:00,23.8,99
2022-01-04,21:30:00,23.7,99
2022-01-04,21:45:00,23.6,99
2022-01-04,22:00:00,23.5,99
2022-01-04,22:15:00,24.1,99
2022-01-04,22:30:00,24.6,99
2022-01-04,22:45:00,24.4,99
2022-01-04,23:00:00,23.9,99
2022-01-04,23:15:00,23.5,99
2022-01-04,23:30:00,23.3,99
2022-01-04,23:45:00,23.3,99
2022-01-05,00:15:00,23.3,99
2022-01-05,00:30:00,23.1,99
2022-01-05,00:45:00,23.2,99
2022-01-05,01:00:00,23,99
2022-01-05,01:15:00,23,99
2022-01-05,01:30:00,22.8,99
2022-01-05,01:45:00,22.8,99
2022-01-05,02:00:00,22.6,99
2022-01-05,02:15:00,22.5,99
2022-01-05,02:30:00,22.4,99
2022-01-05,02:45:00,22.3,99
2022-01-05,03:00:00,22.2,99
2022-01-05,03:15:00,22,99
2022-01-05,03:30:00,21.8,99
2022-01-05,03:45:00,21.7,99
2022-01-05,04:15:00,21.9,99
2022-01-05,04:30:00,21.9,99
2022-01-05,04:45:00,21.7,99
2022-01-05,05:00:00,21.5,99
2022-01-05,05:15:00,21.3,99
2022-01-05,05:30:00,21.5,99
2022-01-05,05:45:00,22.2,99
2022-01-05,06:00:00,22.2,99
2022-01-05,06:15:00,22.2,99
2022-01-05,06:30:00,21.9,99
2022-01-05,06:45:00,21.6,99
2022-01-05,07:00:00,21.6,99
2022-01-05,07:15:00,21.6,99
2022-01-05,07:30:00,21.6,99
2022-01-05,07:45:00,22.2,99
2022-01-05,08:00:00,22.2,99
2022-01-05,08:15:00,22.7,99
2022-01-05,08:30:00,23.5,99
2022-01-05,08:45:00,23.7,99
2022-01-05,09:00:00,23.9,99
2022-01-05,09:15:00,24.2,99
2022-01-05,09:30:00,24.7,99
2022-01-05,09:45:00,24.9,99
2022-01-05,10:00:00,25.1,99
2022-01-05,10:15:00,25.4,99
2022-01-05,10:30:00,25.7,99
2022-01-05,10:45:00,25.9,99
2022-01-05,11:00:00,25.8,99
2022-01-05,11:15:00,25.8,99
2022-01-05,11:30:00,26.4,99
2022-01-05,11:45:00,26.4,99
2022-01-05,12:15:00,26.7,99
2022-01-05,12:30:00,26.7,96
2022-01-05,12:45:00,27.4,99
2022-01-05,13:00:00,28,81
2022-01-05,13:15:00,27.8,80
2022-01-05,13:30:00,28.2,76
2022-01-05,13:45:00,27.6,81
2022-01-05,14:00:00,27.3,93
2022-01-05,14:15:00,27.3,95
2022-01-05,14:30:00,27.6,96
2022-01-05,14:45:00,26.9,90
2022-01-05,15:00:00,27.4,88
2022-01-05,15:15:00,27.3,91
2022-01-05,15:30:00,27.3,83
2022-01-05,15:45:00,27.3,84
2022-01-05,16:00:00,27.3,84
2022-01-05,16:15:00,27.8,79
2022-01-05,16:30:00,27.4,88
2022-01-05,16:45:00,27.3,99
2022-01-05,17:00:00,26.3,99
2022-01-05,17:15:00,26.3,99
2022-01-05,17:30:00,26,99
2022-01-05,17:45:00,25.8,99
2022-01-05,18:00:00,25.6,99
2022-01-05,18:15:00,25.4,99
2022-01-05,18:30:00,25.2,99
2022-01-05,18:45:00,25.1,99
2022-01-05,19:15:00,24.8,99
2022-01-05,19:30:00,24.6,99
2022-01-05,19:45:00,24.4,99
2022-01-05,20:00:00,24.5,99
2022-01-05,20:15:00,24.7,99
2022-01-05,20:30:00,24.7,99
2022-01-05,20:45:00,24.7,99
2022-01-05,21:00:00,24.7,99
2022-01-05,21:15:00,24.6,99
2022-01-05,21:30:00,24.6,99
2022-01-05,21:45:00,24.6,99
2022-01-05,22:00:00,24.2,99
2022-01-05,22:15:00,24.1,99
2022-01-05,22:30:00,23.7,99
2022-01-05,22:45:00,23.8,99
2022-01-05,23:00:00,23.7,99
2022-01-05,23:15:00,23.7,99
2022-01-05,23:30:00,23.6,99
2022-01-05,23:45:00,23.8,99
2022-01-06,00:00:00,23.6,99
2022-01-06,00:15:00,23.6,99
2022-01-06,00:30:00,23.1,99
2022-01-06,00:45:00,22.8,99
2022-01-06,01:00:00,22.3,99
2022-01-06,01:15:00,22.1,99
2022-01-06,01:30:00,22.2,99
2022-01-06,01:45:00,22.1,99
2022-01-06,02:00:00,22.1,99
2022-01-06,02:15:00,21.9,99
2022-01-06,02:30:00,21.8,99
2022-01-06,02:45:00,21.6,99
2022-01-06,03:00:00,21.7,99
2022-01-06,03:15:00,21.4,99
2022-01-06,03:30:00,21.5,99
2022-01-06,03:45:00,21.7,99
2022-01-06,04:00:00,22.2,99
2022-01-06,04:15:00,22.6,99
2022-01-06,04:30:00,22.7,99
2022-01-06,04:45:00,22.9,99
2022-01-06,05:00:00,22.8,99
2022-01-06,05:15:00,22.7,99
2022-01-06,05:30:00,22.6,99
2022-01-06,05:45:00,22.6,99
2022-01-06,06:00:00,22,99
2022-01-06,06:15:00,21.9,99
2022-01-06,06:30:00,21.8,99
2022-01-06,06:45:00,21.6,99
2022-01-06,07:15:00,21.3,99
2022-01-06,07:30:00,21.4,99
2022-01-06,07:45:00,21.6,99
2022-01-06,08:00:00,22.1,99
2022-01-06,08:15:00,22.4,99
2022-01-06,08:30:00,22.7,99
2022-01-06,08:45:00,23.3,99
2022-01-06,09:00:00,23.9,99
2022-01-06,09:15:00,24.2,99
2022-01-06,09:30:00,24.6,99
2022-01-06,09:45:00,24.6,99
2022-01-06,10:00:00,24.4,99
2022-01-06,10:15:00,24.5,99
2022-01-06,10:30:00,24.9,99
2022-01-06,10:45:00,24.7,99
2022-01-06,11:00:00,25.5,99
2022-01-06,11:15:00,25.1,99
2022-01-06,11:30:00,25.8,99
2022-01-06,11:45:00,26.2,99
2022-01-06,12:00:00,26.3,99
2022-01-06,12:15:00,26.4,99
2022-01-06,12:30:00,26.1,99
2022-01-06,12:45:00,26.2,99
2022-01-06,13:00:00,26.1,99
2022-01-06,13:15:00,26.3,97
2022-01-06,13:30:00,26.1,99
2022-01-06,13:45:00,25.8,99
2022-01-06,14:00:00,26.2,99
2022-01-06,14:15:00,26.2,99
2022-01-06,14:30:00,26.3,99
2022-01-06,14:45:00,26.1,99
2022-01-06,15:00:00,26.3,99
2022-01-06,15:15:00,26.4,99
2022-01-06,15:30:00,26.1,99
2022-01-06,15:45:00,26,99
2022-01-06,16:00:00,26.1,99
2022-01-06,16:15:00,26.3,99
2022-01-06,16:30:00,26,99
2022-01-06,16:45:00,25.9,99
2022-01-06,17:00:00,25.6,99
2022-01-06,17:15:00,25.4,99
2022-01-06,17:30:00,25.2,99
2022-01-06,17:45:00,25,99
2022-01-06,18:15:00,24.7,99
2022-01-06,18:30:00,24.7,99
2022-01-06,18:45:00,24.6,99
2022-01-06,19:00:00,24.4,99
2022-01-06,19:15:00,24.3,99
2022-01-06,19:30:00,24.3,99
2022-01-06,19:45:00,24.3,99
2022-01-06,20:00:00,24.3,99
2022-01-06,20:15:00,24.1,99
2022-01-06,20:30:00,24,99
2022-01-06,20:45:00,23.9,99
2022-01-06,21:00:00,23.8,99
2022-01-06,21:15:00,23.7,99
2022-01-06,21:30:00,23.6,99
2022-01-06,21:45:00,23.4,99
2022-01-06,22:00:00,23,99
2022-01-06,22:15:00,23,99
2022-01-06,22:30:00,22.5,99
2022-01-06,22:45:00,22,99
2022-01-06,23:00:00,21.9,99
2022-01-06,23:15:00,21.7,99
2022-01-06,23:30:00,21.7,99
2022-01-06,23:45:00,21.9,99
2022-01-07,00:00:00,21.8,99
2022-01-07,00:15:00,21.9,99
2022-01-07,00:30:00,22.2,99
2022-01-07,00:45:00,22.2,99
2022-01-07,01:00:00,22,99
2022-01-07,01:15:00,21.7,99
2022-01-07,01:30:00,21.5,99
2022-01-07,01:45:00,21.4,99
2022-01-07,02:00:00,21.4,99
2022-01-07,02:15:00,21.4,99
2022-01-07,02:30:00,21.7,99
2022-01-07,02:45:00,21.9,99
2022-01-07,03:00:00,21.7,99
2022-01-07,03:15:00,21.6,99
2022-01-07,03:30:00,21.5,99
2022-01-07,03:45:00,21.2,99
2022-01-07,04:00:00,21.1,99
2022-01-07,04:15:00,21.1,99
2022-01-07,04:30:00,21.5,99
2022-01-07,04:45:00,21.8,99
2022-01-07,05:15:00,22.2,99
2022-01-07,05:30:00,22,99
2022-01-07,05:45:00,21.9,99
2022-01-07,06:00:00,22.3,99
2022-01-07,06:15:00,21.9,99
2022-01-07,06:30:00,22,99
2022-01-07,06:45:00,22,99
2022-01-07,07:00:00,21.9,99
2022-01-07,07:15:00,21.8,99
2022-01-07,07:30:00,22,99
2022-01-07,07:45:00,22,99
2022-01-07,08:00:00,22.3,99
2022-01-07,08:15:00,22.5,99
2022-01-07,08:30:00,22.5,99
2022-01-07,08:45:00,22.6,99
2022-01-07,09:00:00,23,99
2022-01-07,09:15:00,23.4,99
2022-01-07,09:30:00,23.7,99
2022-01-07,09:45:00,24.1,99
2022-01-07,10:00:00,23.9,99
2022-01-07,10:15:00,24.3,99
2022-01-07,10:30:00,25,99
2022-01-07,10:45:00,25.3,99
2022-01-07,11:00:00,25.7,99
2022-01-07,11:15:00,25.8,99
2022-01-07,11:30:00,26.4,99
2022-01-07,11:45:00,26.5,99
2022-01-07,12:15:00,26.2,99
2022-01-07,12:30:00,26,99
2022-01-07,12:45:00,25.7,99
2022-01-07,13:00:00,25.7,99
2022-01-07,13:15:00,26.2,99
2022-01-07,13:30:00,25.9,99
2022-01-07,13:45:00,26.2,99
2022-01-07,14:00:00,26.3,99
2022-01-07,14:15:00,26.4,99
2022-01-07,14:30:00,26.4,99
2022-01-07,14:45:00,26.4,99
2022-01-07,15:00:00,26.5,99
2022-01-07,15:15:00,26.3,99
2022-01-07,15:30:00,26.5,99
2022-01-07,15:45:00,26.5,99
2022-01-07,16:00:00,26.4,99
2022-01-07,16:15:00,26.4,99
2022-01-07,16:30:00,26.3,99
2022-01-07,16:45:00,26,99
2022-01-07,17:00:00,25.8,99
2022-01-07,17:15:00,25.6,99
2022-01-07,17:30:00,25.5,99
2022-01-07,17:45:00,25.4,99
2022-01-07,18:00:00,25.2,99
2022-01-07,18:15:00,25.2,99
2022-01-07,18:30:00,25,99
2022-01-07,18:45:00,25,99
2022-01-07,19:00:00,24.7,99
2022-01-07,19:15:00,24.6,99
2022-01-07,19:30:00,24.6,99
2022-01-07,19:45:00,24.2,99
2022-01-07,20:00:00,24.3,99
2022-01-07,20:15:00,23.6,99
2022-01-07,20:30:00,23.4,99
2022-01-07,20:45:00,23.3,99
2022-01-07,21:00:00,24,99
2022-01-07,21:15:00,24,99
2022-01-07,21:30:00,23.3,99
2022-01-07,21:45:00,23.1,99
2022-01-07,22:15:00,22.4,99
2022-01-07,22:30:00,22.2,99
2022-01-07,22:45:00,22.1,99
2022-01-07,23:00:00,21.9,99
2022-01-07,23:15:00,21.5,99
2022-01-07,23:30:00,21.4,99
2022-01-07,23:45:00,21.6,99
2022-01-08,00:00:00,22.5,99
2022-01-08,00:15:00,23,99
2022-01-08,00:30:00,23,99
2022-01-08,00:45:00,22.9,99
2022-01-08,01:00:00,23,99
2022-01-08,01:15:00,22.8,99
2022-01-08,01:30:00,22.8,99
2022-01-08,01:45:00,23,99
2022-01-08,02:00:00,23,99
2022-01-08,02:15:00,22.9,99
2022-01-08,02:30:00,22.6,99
2022-01-08,02:45:00,22.4,99
2022-01-08,03:00:00,22.5,99
2022-01-08,03:15:00,22.7,99
2022-01-08,03:30:00,22.6,99
2022-01-08,03:45:00,22.6,99
2022-01-08,04:00:00,22.6,99
2022-01-08,04:15:00,22.5,99
2022-01-08,04:30:00,22.7,99
2022-01-08,04:45:00,22.7,99
2022-01-08,05:00:00,22.5,99
2022-01-08,05:15:00,22.7,99
2022-01-08,05:30:00,22.7,99
2022-01-08,05:45:00,22.5,99
2022-01-08,06:15:00,22.3,99
2022-01-08,06:30:00,22.2,99
2022-01-08,06:45:00,22.1,99
2022-01-08,07:00:00,22,99
2022-01-08,07:15:00,22.2,99
2022-01-08,07:30:00,22.1,99
2022-01-08,07:45:00,22.2,99
2022-01-08,08:00:00,22.3,99
2022-01-08,08:15:00,22.7,99
2022-01-08,08:30:00,23.2,99
2022-01-08,08:45:00,23.4,99
2022-01-08,09:00:00,23.9,99
2022-01-08,09:15:00,24.4,99
2022-01-08,09:30:00,24.1,99
2022-01-08,09:45:00,23.3,99
2022-01-08,10:00:00,23.7,99
2022-01-08,10:15:00,23.6,99
2022-01-08,10:30:00,24.9,99
2022-01-08,10:45:00,26,99
2022-01-08,11:00:00,25.1,99
2022-01-08,11:15:00,26,99
2022-01-08,11:30:00,26.5,99
2022-01-08,11:45:00,26.1,99
2022-01-08,12:00:00,27.2,99
2022-01-08,12:15:00,26.1,99
2022-01-08,12:30:00,26.2,99
2022-01-08,12:45:00,26,99
2022-01-08,13:00:00,25.8,99
2022-01-08,13:15:00,25.5,99
2022-01-08,13:30:00,25,99
2022-01-08,13:45:00,25.5,99
2022-01-08,14:00:00,24.9,99
2022-01-08,14:15:00,24.4,99
2022-01-08,14:30:00,24.1,99
2022-01-08,14:45:00,24.1,99
2022-01-08,15:00:00,23.9,99
2022-01-08,15:15:00,24.1,99
