date,temperature,relativeHumidity
30-09-2022 00:00,27.9,83
30-09-2022 00:15,27.9,83
30-09-2022 00:30,27.9,83
30-09-2022 00:45,27.8,84
30-09-2022 01:00,27.8,84
30-09-2022 01:15,27.8,84
30-09-2022 01:30,27.8,84
30-09-2022 01:45,27.8,84
30-09-2022 02:00,27.8,84
30-09-2022 02:15,27.7,84
30-09-2022 02:30,27.8,85
30-09-2022 02:45,27.7,85
30-09-2022 03:00,27.8,85
30-09-2022 03:15,27.6,84
30-09-2022 03:30,27.6,84
30-09-2022 03:45,27.6,85
30-09-2022 04:00,27.7,85
30-09-2022 04:15,27.8,85
30-09-2022 04:30,27.8,85
30-09-2022 04:45,27.8,85
30-09-2022 05:00,27.8,86
30-09-2022 05:15,26.02505852,68.49820891
30-09-2022 05:30,27.4,85
30-09-2022 05:45,27.4,85
30-09-2022 06:00,27,85
30-09-2022 06:15,26.02505852,68.49820891
30-09-2022 06:30,26.7,86
30-09-2022 06:45,26.3,87
30-09-2022 07:00,26.4,88
30-09-2022 07:15,26.5,88
30-09-2022 07:30,26.5,88
30-09-2022 07:45,26.6,89
30-09-2022 08:00,26.5,89
30-09-2022 08:15,26.9,89
30-09-2022 08:30,27.3,90
30-09-2022 08:45,27.4,90
30-09-2022 09:00,27.9,90
30-09-2022 09:15,28.2,90
30-09-2022 09:30,28.4,89
30-09-2022 09:45,28.5,89
30-09-2022 10:00,28.9,89
30-09-2022 10:15,29.6,88
30-09-2022 10:30,30,88
30-09-2022 10:45,30.3,86
30-09-2022 11:00,30.3,84
30-09-2022 11:15,30.4,83
30-09-2022 11:30,31,82
30-09-2022 11:45,31,80
30-09-2022 12:00,31,80
30-09-2022 12:15,31.1,80
30-09-2022 12:30,30.8,80
30-09-2022 12:45,30.4,79
30-09-2022 13:00,30.5,80
30-09-2022 13:15,30.4,80
30-09-2022 13:30,30.4,81
30-09-2022 13:45,30.5,81
30-09-2022 14:00,30.6,81
30-09-2022 14:15,30.4,81
30-09-2022 14:30,30.4,81
30-09-2022 14:45,30.4,82
30-09-2022 15:00,30.5,82
30-09-2022 15:15,30.1,82
30-09-2022 15:30,30.4,82
30-09-2022 15:45,30,82
30-09-2022 16:00,29.8,82
30-09-2022 16:15,29.7,82
30-09-2022 16:30,29.7,82
30-09-2022 16:45,29.6,82
30-09-2022 17:00,29.5,82
30-09-2022 17:15,29.3,82
30-09-2022 17:30,29,82
30-09-2022 17:45,28.9,82
30-09-2022 18:00,28.9,82
30-09-2022 18:15,28.8,82
30-09-2022 18:30,28.7,83
30-09-2022 18:45,28.6,83
30-09-2022 19:00,28.5,83
30-09-2022 19:15,28.5,83
30-09-2022 19:30,28.5,83
30-09-2022 19:45,28.5,83
30-09-2022 20:00,28.5,83
30-09-2022 20:15,28.5,83
30-09-2022 20:30,28.4,83
30-09-2022 20:45,28.4,83
30-09-2022 21:00,28.4,83
30-09-2022 21:15,28.4,83
30-09-2022 21:30,28.4,83
30-09-2022 21:45,28.4,84
30-09-2022 22:00,28.4,84
30-09-2022 22:15,28.4,84
30-09-2022 22:30,28.4,84
30-09-2022 22:45,27.9,83
30-09-2022 23:00,27.6,82
30-09-2022 23:15,27.3,82
30-09-2022 23:30,27.3,82
30-09-2022 23:45,27.2,82
01-10-2022 00:00,27,82
