Date,Time,Power,,,,330.292384,,,,Power,,,,,,,temperature,relativeHumidity
01-01-2022,00:00:00,330.292384,,,,325.755824,,,,330.161104,,22.4,99,,,,22.4,99
01-01-2022,00:15:00,325.755824,,,,321.28386,,,,323.848972,,22.5,99,,,,22.5,99
01-01-2022,00:30:00,321.28386,,,,316.505456,,,,318.122756,,22.5,99,,,,22.5,99
01-01-2022,00:45:00,316.505456,,,,311.341044,,,,313.237044,,22.4,99,,,,22.4,99
01-01-2022,01:00:00,311.341044,,,,305.955056,,,,308.465292,,22.3,99,,,,22.3,99
01-01-2022,01:15:00,305.955056,,,,300.926832,,,,304.536892,,22.5,99,,,,22.5,99
01-01-2022,01:30:00,300.926832,,,,296.27342,,,,299.592908,,22.4,99,,,,22.4,99
01-01-2022,01:45:00,296.27342,,,,291.870184,,,,295.976892,,22.6,99,,,,22.6,99
01-01-2022,02:00:00,291.870184,,,,287.566172,,,,291.365556,,22.7,99,,,,22.7,99
01-01-2022,02:15:00,287.566172,,,,285.375644,,,,288.735568,,22.9,99,,,,22.9,99
01-01-2022,02:30:00,285.375644,,,,284.785016,,,,285.635192,,22.9,99,,,,22.9,99
01-01-2022,02:45:00,284.785016,,,,280.793828,,,,283.469044,,22.7,99,,,,22.7,99
01-01-2022,03:00:00,280.793828,,,,278.1307,,,,280.2011,,22.6,99,,,,22.6,99
01-01-2022,03:15:00,278.1307,,,,275.271064,,,,277.823932,,22.6,99,,,,22.6,99
01-01-2022,03:30:00,275.271064,,,,273.292564,,,,275.587272,,22.7,99,,,,22.7,99
01-01-2022,03:45:00,273.292564,,,,271.185088,,,,274.21046,,22.7,99,,,,22.7,99
01-01-2022,04:00:00,271.185088,,,,272.919996,,,,273.496664,,22.6,99,,,,22.6,99
01-01-2022,04:15:00,272.919996,,,,274.895844,,,,274.604344,,22.5,99,,,,22.5,99
01-01-2022,04:30:00,274.895844,,,,279.223288,,,,278.847968,,22.5,99,,,,22.5,99
01-01-2022,04:45:00,279.223288,,,,290.81766,,,,286.219692,,22.8,99,,,,22.8,99
01-01-2022,05:00:00,290.81766,,,,298.594116,,,,300.328884,,23,99,,,,23,99
01-01-2022,05:15:00,298.594116,,,,302.157892,,,,309.943608,,25.6,81,,,,25.6,81
01-01-2022,05:30:00,302.157892,,,,304.783872,,,,313.235876,,27.8,65,,,,27.8,65
01-01-2022,05:45:00,304.783872,,,,306.176708,,,,315.150788,,28.1,64,,,,28.1,64
01-01-2022,06:00:00,306.176708,,,,308.207088,,,,314.335132,,24.4,99,,,,24.4,99
01-01-2022,06:15:00,308.207088,,,,310.974428,,,,313.19912,,23.3,99,,,,23.3,99
01-01-2022,06:30:00,310.974428,,,,313.476948,,,,312.396612,,22.7,99,,,,22.7,99
01-01-2022,06:45:00,313.476948,,,,317.456396,,,,312.96894,,22.6,99,,,,22.6,99
01-01-2022,07:00:00,317.456396,,,,328.069068,,,,312.772672,,22.5,99,,,,22.5,99
01-01-2022,07:15:00,328.069068,,,,339.680796,,,,318.20204,,22.1,99,,,,22.1,99
01-01-2022,07:30:00,339.680796,,,,350.136284,,,,325.229672,,22.2,99,,,,22.2,99
01-01-2022,07:45:00,350.136284,,,,362.30564,,,,332.361832,,22.3,99,,,,22.3,99
01-01-2022,08:00:00,362.30564,,,,372.992576,,,,340.177276,,22.7,99,,,,22.7,99
01-01-2022,08:15:00,372.992576,,,,383.710228,,,,345.478812,,23.1,99,,,,23.1,99
01-01-2022,08:30:00,383.710228,,,,394.238652,,,,353.740316,,23.1,99,,,,23.1,99
01-01-2022,08:45:00,394.238652,,,,407.956876,,,,361.496524,,23.1,99,,,,23.1,99
01-01-2022,09:00:00,407.956876,,,,421.45778,,,,368.54868,,23.5,99,,,,23.5,99
01-01-2022,09:15:00,421.45778,,,,435.536676,,,,375.604672,,23.7,99,,,,23.7,99
01-01-2022,09:30:00,435.536676,,,,446.64452,,,,382.755484,,24.7,99,,,,24.7,99
01-01-2022,09:45:00,446.64452,,,,460.023364,,,,390.967076,,28.2,73,,,,28.2,73
01-01-2022,10:00:00,460.023364,,,,472.219668,,,,394.984136,,28.7,62,,,,28.7,62
01-01-2022,10:15:00,472.219668,,,,481.72098,,,,400.73604,,29.1,59,,,,29.1,59
01-01-2022,10:30:00,481.72098,,,,486.329596,,,,405.003324,,28.1,76,,,,28.1,76
01-01-2022,10:45:00,486.329596,,,,489.95578,,,,408.992884,,26,99,,,,26,99
01-01-2022,11:00:00,489.95578,,,,492.596912,,,,409.159108,,25.5,99,,,,25.5,99
01-01-2022,11:15:00,492.596912,,,,495.4512,,,,410.314208,,25.5,93,,,,25.5,93
01-01-2022,11:30:00,495.4512,,,,496.364848,,,,412.03842,,24.6,99,,,,24.6,99
01-01-2022,11:45:00,496.364848,,,,495.435532,,,,412.618268,,22.3,99,,,,22.3,99
01-01-2022,12:00:00,495.435532,,,,494.250016,,,,412.931052,,22.6,99,,,,22.6,99
01-01-2022,12:15:00,494.250016,,,,492.477472,,,,411.941012,,22.6,99,,,,22.6,99
01-01-2022,12:30:00,492.477472,,,,490.191956,,,,410.650572,,22.7,99,,,,22.7,99
01-01-2022,12:45:00,490.191956,,,,477.24066,,,,408.079904,,22.5,99,,,,22.5,99
01-01-2022,13:00:00,477.24066,,,,471.0667,,,,402.01948,,23.3,99,,,,23.3,99
01-01-2022,13:15:00,471.0667,,,,465.22996,,,,399.005956,,23.7,99,,,,23.7,99
01-01-2022,13:30:00,465.22996,,,,463.1641,,,,392.557284,,22.9,99,,,,22.9,99
01-01-2022,13:45:00,463.1641,,,,461.3199,,,,389.120696,,22.8,99,,,,22.8,99
01-01-2022,14:00:00,461.3199,,,,460.5035,,,,385.854888,,23.1,99,,,,23.1,99
01-01-2022,14:15:00,460.5035,,,,458.435524,,,,382.920136,,22.8,99,,,,22.8,99
01-01-2022,14:30:00,458.435524,,,,458.516788,,,,379.972928,,23.2,99,,,,23.2,99
01-01-2022,14:45:00,458.516788,,,,458.410544,,,,376.395088,,23.3,99,,,,23.3,99
01-01-2022,15:00:00,458.410544,,,,459.723544,,,,373.813116,,23.3,99,,,,23.3,99
01-01-2022,15:15:00,459.723544,,,,457.727544,,,,371.546636,,23.1,99,,,,23.1,99
01-01-2022,15:30:00,457.727544,,,,454.984896,,,,370.89702,,23,99,,,,23,99
01-01-2022,15:45:00,454.984896,,,,456.82448,,,,368.323432,,27.3,93,,,,27.3,93
01-01-2022,16:00:00,456.82448,,,,455.17656,,,,368.864368,,27.6,75,,,,27.6,75
01-01-2022,16:15:00,455.17656,,,,454.149032,,,,368.133684,,28.4,71,,,,28.4,71
01-01-2022,16:30:00,454.149032,,,,453.288332,,,,367.23144,,28.4,69,,,,28.4,69
01-01-2022,16:45:00,453.288332,,,,453.472008,,,,368.432732,,28.7,66,,,,28.7,66
01-01-2022,17:00:00,453.472008,,,,453.479988,,,,369.361488,,28.7,69,,,,28.7,69
01-01-2022,17:15:00,453.479988,,,,453.119156,,,,371.878724,,28.1,64,,,,28.1,64
01-01-2022,17:30:00,453.119156,,,,455.137028,,,,375.115668,,28.1,73,,,,28.1,73
01-01-2022,17:45:00,455.137028,,,,459.522376,,,,379.687956,,28,80,,,,28,80
01-01-2022,18:00:00,459.522376,,,,468.380276,,,,388.95838,,27.3,87,,,,27.3,87
01-01-2022,18:15:00,468.380276,,,,474.449168,,,,402.75594,,27,94,,,,27,94
01-01-2022,18:30:00,474.449168,,,,476.702824,,,,414.118784,,26.7,97,,,,26.7,97
01-01-2022,18:45:00,476.702824,,,,474.386996,,,,416.816664,,26.5,99,,,,26.5,99
01-01-2022,19:00:00,474.386996,,,,472.56254,,,,419.692664,,26.3,99,,,,26.3,99
01-01-2022,19:15:00,472.56254,,,,466.562992,,,,419.868836,,26.2,99,,,,26.2,99
01-01-2022,19:30:00,466.562992,,,,458.695016,,,,417.247604,,26,99,,,,26,99
01-01-2022,19:45:00,458.695016,,,,448.521748,,,,415.818192,,25.8,99,,,,25.8,99
01-01-2022,20:00:00,448.521748,,,,440.193812,,,,413.421548,,25.5,99,,,,25.5,99
01-01-2022,20:15:00,440.193812,,,,432.8923,,,,410.272524,,25.5,99,,,,25.5,99
01-01-2022,20:30:00,432.8923,,,,426.920312,,,,407.312356,,25.8,99,,,,25.8,99
01-01-2022,20:45:00,426.920312,,,,420.624236,,,,404.802476,,25.9,99,,,,25.9,99
01-01-2022,21:00:00,420.624236,,,,412.84104,,,,402.516932,,26,97,,,,26,97
01-01-2022,21:15:00,412.84104,,,,402.897848,,,,398.244892,,25.8,99,,,,25.8,99
01-01-2022,21:30:00,402.897848,,,,394.67218,,,,392.685212,,25.7,99,,,,25.7,99
01-01-2022,21:45:00,394.67218,,,,384.02228,,,,386.487428,,25.5,99,,,,25.5,99
01-01-2022,22:00:00,384.02228,,,,376.903436,,,,378.747604,,24.8,99,,,,24.8,99
01-01-2022,22:15:00,376.903436,,,,370.86514,,,,374.327372,,24.4,99,,,,24.4,99
01-01-2022,22:30:00,370.86514,,,,364.689912,,,,370.232,,23.8,99,,,,23.8,99
01-01-2022,22:45:00,364.689912,,,,357.536564,,,,366.192752,,23.7,99,,,,23.7,99
01-01-2022,23:00:00,357.536564,,,,352.193516,,,,360.305364,,23.6,99,,,,23.6,99
01-01-2022,23:15:00,352.193516,,,,345.517296,,,,355.562248,,23.5,99,,,,23.5,99
01-01-2022,23:30:00,345.517296,,,,338.953224,,,,349.320824,,24.1,99,,,,24.1,99
01-01-2022,23:45:00,338.953224,,,,,,,,343.196556,,24.6,99,,,,24.6,99
02-01-2022,00:00:00,330.161104,,,,,,,,337.304104,,24.4,99,,,,24.4,99
02-01-2022,00:15:00,323.848972,,,,,,,,331.508752,,23.9,99,,,,23.9,99
02-01-2022,00:30:00,318.122756,,,,,,,,326.9263,,23.5,99,,,,23.5,99
02-01-2022,00:45:00,313.237044,,,,,,,,322.534108,,23.3,99,,,,23.3,99
02-01-2022,01:00:00,308.465292,,,,,,,,316.081388,,23.3,99,,,,23.3,99
02-01-2022,01:15:00,304.536892,,,,,,,,310.864296,,23.3,99,,,,23.3,99
02-01-2022,01:30:00,299.592908,,,,,,,,305.942708,,23.1,99,,,,23.1,99
