date,time,power,temperature,humidity
01-12-2021,00:00:00,465.29,21.10,92.10
01-12-2021,00:15:00,457.44,21.02,92.40
01-12-2021,00:30:00,450.22,21.02,92.60
01-12-2021,00:45:00,441.4,21.03,92.80
01-12-2021,01:00:00,431.86,20.95,93.10
01-12-2021,01:15:00,424.1,20.95,93.20
01-12-2021,01:30:00,416.33,20.86,93.30
01-12-2021,01:45:00,410.45,20.86,93.50
01-12-2021,02:00:00,405.46,20.87,93.60
01-12-2021,02:15:00,399.46,20.77,93.70
01-12-2021,02:30:00,393.65,20.78,93.80
01-12-2021,02:45:00,389.05,20.69,93.90
01-12-2021,03:00:00,384.27,20.69,94.00
01-12-2021,03:15:00,380.03,20.60,94.10
01-12-2021,03:30:00,374.77,20.50,94.10
01-12-2021,03:45:00,371.9,20.50,94.20
01-12-2021,04:00:00,369.2,20.41,94.20
01-12-2021,04:15:00,368.29,20.31,94.30
01-12-2021,04:30:00,369.28,20.31,94.30
01-12-2021,04:45:00,373.5,20.22,94.30
01-12-2021,05:00:00,385.54,20.12,94.40
01-12-2021,05:15:00,394.71,20.12,94.40
01-12-2021,05:30:00,400.07,20.02,94.40
01-12-2021,05:45:00,401.53,19.93,94.40
01-12-2021,06:00:00,403.01,19.93,94.40
01-12-2021,06:15:00,404.49,19.92,94.30
01-12-2021,06:30:00,404.88,19.92,94.10
01-12-2021,06:45:00,405.24,19.92,94.00
01-12-2021,07:00:00,414.63,20.01,93.80
01-12-2021,07:15:00,429.91,20.00,93.70
01-12-2021,07:30:00,445.53,20.10,93.60
01-12-2021,07:45:00,461.27,20.19,93.40
01-12-2021,08:00:00,476.78,20.28,93.30
01-12-2021,08:15:00,496.24,20.37,93.10
01-12-2021,08:30:00,513.26,20.55,92.80
01-12-2021,08:45:00,526.8,20.64,92.60
01-12-2021,09:00:00,543.33,20.82,92.30
01-12-2021,09:15:00,562.44,20.99,91.80
01-12-2021,09:30:00,574.76,21.26,91.20
01-12-2021,09:45:00,586.52,21.52,90.70
01-12-2021,10:00:00,594.75,21.69,90.10
01-12-2021,10:15:00,602.03,22.02,89.20
01-12-2021,10:30:00,605.36,22.27,88.30
01-12-2021,10:45:00,606.98,22.50,87.40
01-12-2021,11:00:00,606.25,22.83,86.40
01-12-2021,11:15:00,608.49,22.98,85.70
01-12-2021,11:30:00,607.95,23.12,84.90
01-12-2021,11:45:00,605.74,23.36,84.20
01-12-2021,12:00:00,602.3,23.50,83.40
01-12-2021,12:15:00,596.57,23.59,83.40
01-12-2021,12:30:00,601.48,23.58,83.30
01-12-2021,12:45:00,594.28,23.67,83.30
01-12-2021,13:00:00,573.26,23.76,83.20
01-12-2021,13:15:00,558.11,23.79,83.80
01-12-2021,13:30:00,551.96,23.73,84.30
01-12-2021,13:45:00,546.89,23.76,84.90
01-12-2021,14:00:00,544.82,23.70,85.40
01-12-2021,14:15:00,542.9,23.65,86.30
01-12-2021,14:30:00,540.39,23.60,87.10
01-12-2021,14:45:00,536.3,23.55,87.90
01-12-2021,15:00:00,536.34,23.50,88.70
01-12-2021,15:15:00,534.31,23.45,89.50
01-12-2021,15:30:00,532.34,23.31,90.40
01-12-2021,15:45:00,531.78,23.25,91.20
01-12-2021,16:00:00,533.5,23.11,92.10
01-12-2021,16:15:00,532.6,23.05,92.80
01-12-2021,16:30:00,530.89,22.89,93.60
01-12-2021,16:45:00,530.44,22.74,94.40
01-12-2021,17:00:00,532.18,22.58,95.20
01-12-2021,17:15:00,531.15,22.48,95.20
01-12-2021,17:30:00,528.76,22.39,95.20
01-12-2021,17:45:00,528.16,22.29,95.20
01-12-2021,18:00:00,524.46,22.19,95.20
01-12-2021,18:15:00,520.91,22.20,95.30
01-12-2021,18:30:00,512.76,22.10,95.30
01-12-2021,18:45:00,504.7,22.00,95.30
01-12-2021,19:00:00,497.39,21.90,95.30
01-12-2021,19:15:00,489.37,21.81,95.30
