Time,00:00 AM,00:15 AM,00:30 AM,00:45 AM,01:00 AM,01:15 AM,01:30 AM,01:45 AM,02:00 AM,02:15 AM,02:30 AM,02:45 AM,03:00 AM,03:15 AM,03:30 AM,03:45 AM,04:00 AM,04:15 AM,04:30 AM,04:45 AM,05:00 AM,05:15 AM,05:30 AM,05:45 AM,06:00 AM,06:15 AM,06:30 AM,06:45 AM,07:00 AM,07:15 AM,07:30 AM,07:45 AM,08:00 AM,08:15 AM,08:30 AM,08:45 AM,09:00 AM,09:15 AM,09:30 AM,09:45 AM,10:00 AM,10:15 AM,10:30 AM,10:45 AM,11:00 AM,11:15 AM,11:30 AM,11:45 AM,12:00 PM,12:15 PM,12:30 PM,12:45 PM,13:00 PM,13:15 PM,13:30 PM,13:45 PM,14:00 PM,14:15 PM,14:30 PM,14:45 PM,15:00 PM,15:15 PM,15:30 PM,15:45 PM,16:00 PM,16:15 PM,16:30 PM,16:45 PM,17:00 PM,17:15 PM,17:30 PM,17:45 PM,18:00 PM,18:15 PM,18:30 PM,18:45 PM,19:00 PM,19:15 PM,19:30 PM,19:45 PM,20:00 PM,20:15 PM,20:30 PM,20:45 PM,21:00 PM,21:15 PM,21:30 PM,21:45 PM,22:00 PM,22:15 PM,22:30 PM,22:45 PM,23:00 PM,23:15 PM,23:30 PM,23:45 PM,Reliability
01-Jan-2021,327.61,324.49,321.33,316.21,310.34,305.55,300.24,295.82,292.23,288.61,285.71,282.66,279.9,277.74,275.71,274.48,273.76,275.52,278.66,284.52,298.99,312.08,318.16,319.04,319.7,318.31,321.27,324.81,330.56,342.26,352.22,362.29,375.35,392.37,409.27,423.86,439.21,453.7,468.27,483.74,498.16,510.61,519.31,526.66,529.34,533.32,534.99,537.72,538.65,538.38,536.25,530.64,515.71,505.8,499.15,495.61,495.32,496.2,493.23,489.88,489.18,488.13,485.74,483.91,483.72,482.57,481.97,479.99,478.5,478.21,477.39,477.74,481.3,484.49,488.26,488.13,484.92,479.39,472.11,465.12,456.6,448,437.75,431.57,423.5,416.66,407.97,399.22,389.33,381.63,375.12,369.67,364.03,359.94,352.77,347.35,Reliable
02-Jan-2021,340.44,335.05,330.03,324.92,318.52,312.81,308.93,305.15,300.62,298.4,295.42,292.61,289.86,287.39,285.15,283.75,284.15,286.49,289.19,294.61,309.07,320.65,326.12,327.34,327.69,326.57,330.31,333.89,338.81,348.64,359.8,368.98,381.21,397.48,412.47,426.84,444.16,460.7,476.93,490.41,503,517.1,524.45,530.59,533.55,535.86,536.9,534.22,532.13,530.28,527.92,522.03,506.49,497.2,490.49,486.68,487.52,488,485.67,483.21,480.96,478.56,476.61,472.29,472.47,471.24,469.34,467.92,464.09,460.97,459.41,459.19,466.64,472.34,479.4,478.07,474.14,468.36,461.56,454.02,446.51,439.94,432.25,424.35,412.29,404.49,395.59,386.34,374.83,365.85,358.5,352.81,344.35,339.89,335.05,329.58,Reliable
03-Jan-2021,322.21,317.19,312.41,307.63,302.89,297.57,293.51,290.49,287.76,285.22,283.11,281.13,279.51,277.56,276.08,273.61,273.28,273.95,276.62,282.69,297.93,309.17,313.6,314.52,313.41,311.79,311.31,311.7,314.68,319.73,324.83,329.72,336.28,342.79,349.99,356.6,363.46,368.76,377.61,382.7,387.74,393.1,397.16,398.41,401.14,400.41,401.18,400.2,398.46,395.15,392.28,387.28,379.16,372.1,365.07,359.09,356.02,351.99,348.39,342.69,339.92,335.12,333.65,333.06,333.82,333.01,332.64,334.21,338.23,341.37,343.31,350,359.24,371.65,382.42,385.71,387.4,387,384.28,381.44,378.38,378.03,375.94,372.58,368.09,362.25,355.89,348.54,341.66,336.3,330.11,323.99,319.43,316.2,311.78,308.03,Reliable
04-Jan-2021,302.24,298.05,292.19,287.97,283.33,278.68,275.84,272.01,269.51,267.55,264.61,262.63,262.79,260.61,259.24,258.41,258.39,259.49,262.15,268.35,283.99,295.62,301.94,303.64,305.23,307.68,313.04,320.08,330.3,346.61,365.4,375.78,392.84,413.72,436.19,452.61,465.31,480.23,493.72,505.68,515.05,526.24,534.06,540.71,542,541.2,541.71,537.85,534.88,534.68,531.9,528.4,511.47,500.69,494.01,489.31,489.74,490.62,487.29,483.2,484.92,485.3,485.53,485.41,486,486.48,485.47,483.94,480.48,476.15,473.28,470.34,472.45,475.79,481.47,479.61,475.15,467.99,462.36,453.55,441.15,433.39,425.89,418.35,407.25,398.56,387.84,375.18,362.7,353.35,342.44,335.32,326.56,321.04,314.24,308.65,Reliable
05-Jan-2021,300.7,293.92,288.88,283.53,278.55,274.16,269.1,266,263.1,259.88,257.54,255.93,254.49,253.43,251.99,250.8,251.58,253.27,256.41,262.63,279.14,291.89,298.51,300.49,302.5,305.96,310.48,317.6,326.77,342.44,359.19,373.51,392.34,410.42,426.97,444.08,460.65,475.63,489.89,499,510.02,520.4,526.98,533.19,534.79,538.37,538.66,537.91,536.32,535.73,532.25,527.59,512.9,502.81,495.6,491.12,490.91,490.67,490.45,490.04,489,487.23,484.59,482.63,481.27,482.61,481.45,480.19,479.72,477.48,473.75,472.08,474.96,478.98,483.66,484.24,480.89,474.6,467.42,456.08,441.99,433.01,427.04,419,409.66,400.93,390.37,380.13,364.66,355.44,346.7,339.12,329.8,323.74,317.12,311.13,Reliable
06-Jan-2021,303.39,297.88,290.78,285.7,280.8,276.89,272.35,268.13,265.46,261.68,259.93,258.34,256.1,253.61,252.2,250.52,250.87,252.15,254.78,260.51,275.55,289.36,296.09,297.76,300.22,302.21,306.58,313.41,323.01,340.36,359.28,373.8,391.7,408.23,425.97,438.34,456.29,471.12,483.91,495.83,504.74,515.73,521.91,526.19,525.76,528.79,529.79,529.12,528.77,526.79,524,518.34,503.12,492.81,486.95,482.8,482.96,485.15,484.4,483.12,484.02,484.21,484.86,484.16,485.28,486.21,484.58,482.67,478.8,475.61,473.19,474.85,483.11,486.07,487.22,485.12,480.75,474.53,466.85,458.55,448.76,441.52,434.15,425.96,416.32,407.49,395.28,383.71,370.64,359.89,350.04,341.48,332.35,324.76,316.52,310.63,Reliable
07-Jan-2021,301.94,294.52,289.4,284.02,278.49,274.03,269.69,267.38,263.5,260.88,257.54,256.81,254.16,253.03,250.94,249.87,250.28,252.91,256.42,261.61,279.06,291.38,299.01,301.95,305.92,309.06,314.36,321.82,332.09,346.79,365.63,380.71,399.35,418,435.96,449.87,465.39,482.17,495.63,509.55,520.49,529.74,536.59,540.27,540.97,543.8,544.14,543.16,541.19,538.34,538.24,532.83,518.33,508.75,502.3,498.24,499.53,498.9,501.01,500.83,500.48,501.99,500.96,499.98,500.3,499.11,498.61,497.97,496.92,494,491.19,491.53,495.45,497.37,502.56,500.85,494.91,487.32,479.91,471.84,460.45,450.92,442.79,436.96,427.07,418,409.36,401.6,391.31,382.56,373.8,368.74,359.74,352.47,345.88,339.88,Reliable
08-Jan-2021,333.01,326.15,320.56,312.45,307.66,301.67,296.44,293.39,290.15,286.72,282.61,280.92,278.71,276.13,274.95,274.18,274.63,276.06,279.05,285.21,300.79,312.78,319.92,323.14,325.73,328.36,335.85,341.81,351.27,367.06,385.39,398.98,417.26,434.96,456.66,473.57,491.9,509.34,524.86,541.65,554.28,565.27,571.43,575.88,577.18,579.13,578.36,579.54,576.82,574.82,573.74,566.35,547.24,533.17,522.84,520.15,519.97,520.91,520.88,519.38,519.54,519.39,517.11,514.75,514.52,513.59,510.6,508.96,507.78,503.43,499.85,497.24,501.97,508.25,511.97,511.2,505.95,499.75,491.34,482.47,474.05,465.19,455.29,446.8,436.61,427.89,417.16,408.39,396.2,386.68,377.02,371.21,364.92,358.77,351.74,345.73,Reliable
09-Jan-2021,339.01,331.53,325.14,319.58,313.45,308.25,303.29,298.73,295.16,293.78,289.94,286.37,284.1,281.05,279.2,278.04,278.67,279.47,282.51,289.25,304.14,317.23,323.36,325.15,325.39,327.41,331.25,335.35,340.47,352.32,363.16,371.88,384.2,396.89,411.06,423.96,438.43,456.38,468.24,477.9,490.16,502.55,511.13,515.09,518.35,521.85,523.65,523.49,524.63,523.22,521.94,516.92,500.67,491.45,483.72,479.36,478.32,475.83,472.07,467.89,467.14,465.59,462.73,460.36,459.97,459.2,458.76,458.76,457.44,458.46,458.91,461.87,467.88,477.78,488.19,488.57,487.52,483.39,477.89,472.39,465.13,458.31,449.46,441.7,435.89,426.76,417.66,409.29,396.03,388.42,381.15,374.3,366.5,360.67,353.63,349.33,Reliable
10-Jan-2021,343,337.96,331.02,326.35,320.85,315.02,309.09,305.92,301.47,298.19,294.16,291.61,290.24,288.57,286.5,285.38,284.96,285.43,287.89,292.78,306.96,319.6,326.68,327.65,326.88,325.88,326.93,328.79,331.56,337.2,343.36,349.09,354.76,363.06,371.4,379,386.79,392.77,398.32,407.33,414.33,419,423.29,428.23,431.16,432.19,432.58,431.26,433.8,431.96,429.83,425.99,421.05,416.31,410.8,406.82,404.7,400.26,396.68,392.22,389.81,387.96,384.86,381.9,382.75,381.17,377.48,376.42,378.11,378.62,381.07,388.07,398.24,407.19,417.52,422.75,425.41,426.84,425.41,421.78,420.16,417.96,416.64,415.93,412.33,409.53,405.25,400.98,394.72,390.58,387.49,383.96,379.65,376.18,372.12,367.77,Reliable
