"metadata__language","metadata__transactionId","metadata__version","metadata__fromDate","metadata__toDate","metadata__station","metadata__status_code","metadata__message","actualWeatherData__date","actualWeatherData__time","actualWeatherData__temperature","actualWeatherData__relativeHumidity"
"en-US","1681965126581:139012579265810011","1","2022-01-01","2022-02-01","colaba","200","Success","2022-01-01","00:00:00","22.4","99.0"
"","","","","","","","","2022-01-01","00:15:00","22.5","99.0"
"","","","","","","","","2022-01-01","00:45:00","22.5","99.0"
"","","","","","","","","2022-01-01","01:15:00","22.4","99.0"
"","","","","","","","","2022-01-01","01:45:00","22.3","99.0"
"","","","","","","","","2022-01-01","02:15:00","22.5","99.0"
"","","","","","","","","2022-01-01","03:00:00","22.4","99.0"
"","","","","","","","","2022-01-01","03:30:00","22.6","99.0"
"","","","","","","","","2022-01-01","03:45:00","22.7","99.0"
"","","","","","","","","2022-01-01","04:00:00","22.9","99.0"
"","","","","","","","","2022-01-01","04:30:00","22.9","99.0"
"","","","","","","","","2022-01-01","05:30:00","22.7","99.0"
"","","","","","","","","2022-01-01","05:45:00","22.6","99.0"
"","","","","","","","","2022-01-01","06:15:00","22.6","99.0"
"","","","","","","","","2022-01-01","06:30:00","22.7","99.0"
"","","","","","","","","2022-01-01","07:00:00","22.7","99.0"
"","","","","","","","","2022-01-01","07:15:00","22.6","99.0"
"","","","","","","","","2022-01-01","07:30:00","22.5","99.0"
"","","","","","","","","2022-01-01","07:45:00","22.5","99.0"
"","","","","","","","","2022-01-01","08:00:00","22.8","99.0"
"","","","","","","","","2022-01-01","08:15:00","23.0","99.0"
"","","","","","","","","2022-01-01","10:15:00","25.6","81.0"
"","","","","","","","","2022-01-01","12:45:00","27.8","65.0"
"","","","","","","","","2022-01-01","13:15:00","28.1","64.0"
"","","","","","","","","2022-01-01","22:30:00","24.4","99.0"
"","","","","","","","","2022-01-01","23:15:00","23.3","99.0"
"","","","","","","","","2022-01-02","00:30:00","22.7","99.0"
"","","","","","","","","2022-01-02","01:00:00","22.6","99.0"
"","","","","","","","","2022-01-02","01:45:00","22.5","99.0"
"","","","","","","","","2022-01-02","04:15:00","22.1","99.0"
"","","","","","","","","2022-01-02","04:45:00","22.2","99.0"
"","","","","","","","","2022-01-02","05:00:00","22.3","99.0"
"","","","","","","","","2022-01-02","05:15:00","22.7","99.0"
"","","","","","","","","2022-01-02","05:45:00","23.1","99.0"
"","","","","","","","","2022-01-02","06:15:00","23.1","99.0"
"","","","","","","","","2022-01-02","07:00:00","23.1","99.0"
"","","","","","","","","2022-01-02","08:15:00","23.5","99.0"
"","","","","","","","","2022-01-02","08:30:00","23.7","99.0"
"","","","","","","","","2022-01-02","09:15:00","24.7","99.0"
"","","","","","","","","2022-01-02","12:45:00","28.2","73.0"
"","","","","","","","","2022-01-02","13:30:00","28.7","62.0"
"","","","","","","","","2022-01-02","14:00:00","29.1","59.0"
"","","","","","","","","2022-01-02","15:45:00","28.1","76.0"
"","","","","","","","","2022-01-02","18:00:00","26.0","99.0"
"","","","","","","","","2022-01-02","21:15:00","25.5","99.0"
"","","","","","","","","2022-01-02","21:45:00","25.5","93.0"
"","","","","","","","","2022-01-02","22:30:00","24.6","99.0"
"","","","","","","","","2022-01-03","01:15:00","22.3","99.0"
"","","","","","","","","2022-01-03","01:45:00","22.6","99.0"
"","","","","","","","","2022-01-03","02:15:00","22.6","99.0"
"","","","","","","","","2022-01-03","02:30:00","22.7","99.0"
"","","","","","","","","2022-01-03","02:45:00","22.5","99.0"
"","","","","","","","","2022-01-03","07:15:00","23.3","99.0"
"","","","","","","","","2022-01-03","08:00:00","23.7","99.0"
"","","","","","","","","2022-01-04","00:15:00","22.9","99.0"
"","","","","","","","","2022-01-04","01:15:00","22.8","99.0"
"","","","","","","","","2022-01-04","02:00:00","23.1","99.0"
"","","","","","","","","2022-01-04","03:15:00","22.8","99.0"
"","","","","","","","","2022-01-04","03:45:00","23.2","99.0"
"","","","","","","","","2022-01-04","05:45:00","23.3","99.0"
"","","","","","","","","2022-01-04","06:00:00","23.3","99.0"
"","","","","","","","","2022-01-04","06:15:00","23.1","99.0"
"","","","","","","","","2022-01-04","06:45:00","23.0","99.0"
"","","","","","","","","2022-01-04","12:30:00","27.3","93.0"
"","","","","","","","","2022-01-04","12:45:00","27.6","75.0"
"","","","","","","","","2022-01-04","14:00:00","28.4","71.0"
"","","","","","","","","2022-01-04","14:30:00","28.4","69.0"
"","","","","","","","","2022-01-04","15:15:00","28.7","66.0"
"","","","","","","","","2022-01-04","15:30:00","28.7","69.0"
"","","","","","","","","2022-01-04","15:45:00","28.1","64.0"
"","","","","","","","","2022-01-04","16:15:00","28.1","73.0"
"","","","","","","","","2022-01-04","16:30:00","28.0","80.0"
"","","","","","","","","2022-01-04","16:45:00","27.3","87.0"
"","","","","","","","","2022-01-04","17:00:00","27.0","94.0"
"","","","","","","","","2022-01-04","17:15:00","26.7","97.0"
"","","","","","","","","2022-01-04","17:30:00","26.5","99.0"
"","","","","","","","","2022-01-04","17:45:00","26.3","99.0"
"","","","","","","","","2022-01-04","18:00:00","26.2","99.0"
"","","","","","","","","2022-01-04","18:15:00","26.0","99.0"
"","","","","","","","","2022-01-04","18:30:00","25.8","99.0"
"","","","","","","","","2022-01-04","18:45:00","25.5","99.0"
"","","","","","","","","2022-01-04","19:00:00","25.5","99.0"
"","","","","","","","","2022-01-04","19:15:00","25.8","99.0"
"","","","","","","","","2022-01-04","19:30:00","25.9","99.0"
"","","","","","","","","2022-01-04","19:45:00","26.0","97.0"
"","","","","","","","","2022-01-04","20:00:00","25.8","99.0"
"","","","","","","","","2022-01-04","20:15:00","25.7","99.0"
"","","","","","","","","2022-01-04","20:30:00","25.5","99.0"
